Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Rarely,Very strongly aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Trying to check my phone,Frustrated ,25 - 34,Female,Employed full-time,United Kingdom ,Yes definitely,Hard working ,Confident,Compassionate 
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I'd like to be able to switch off from any worries that I have and keep focused,annoyed,55 +,Female,Other,Scotland,Somewhat,determination,honesty,humility
"Yes, I consent",21–30 minutes,"Smartphone notifications, Background noise / environment",Sometimes,Almost always,Almost always,Neutral,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Less background noise from everywhere,Distracted,35 - 44,Female,Employed full-time,UK,Somewhat,"Loyal, trustworthy, caring",Hard-working,Forgiving
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, music player",Rarely,Rarely,Never,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,"I don't think I can do much to change my ability to focus, it's mostly the same regardless of environment I just need some music playing and I can ignore non-task related things.",nothing,25 - 34,Male,Unemployed,Australia,Yes definitely,Honesty,Forgiveness,Having less wants
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Sometimes,Rarely,Neutral,Neutral,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise",The ability to block out external noises that I find irritating or distracting.,Frustrated,35 - 44,Male,Employed full-time,Canada,Yes definitely,Trustworthiness,Integrity,Wisdom
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Aligning tasks with personal priorities or values",I would change being able to focus better myself and not always getting distracted by the smallest things,frustrated,25 - 34,Female,Employed part-time,united states of america,Somewhat,loyalty,compassion,empathy
"Yes, I consent",11–20 minutes,Email or messaging apps,Rarely,Sometimes,Rarely,Somewhat aligned,No noticeable difference,Taking breaks / exercise,Mute sound,confused,55 +,Male,Other,england,Yes definitely,Honest ,Truth,Integrity
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps",Rarely,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces","The ability to completely drown out distractions, whether it is in my mind or from outside",Distracted,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Loyalty,Respect,Humility
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Often,Very strongly aligned,I feel somewhat more focused,Aligning tasks with personal priorities or values,i would change the environment,i feel scattered,25 - 34,Female,Employed full-time,United Kingdom,Yes definitely,Curiosity,Calm,Freedom
"Yes, I consent",11–20 minutes,Internal thoughts/worries,Sometimes,Almost always,Almost always,Somewhat aligned,Neutral,"Silencing notifications, Taking breaks / exercise",Able to turn off thoughts,frustrated,45 - 54,Female,Self-employed,United States,Somewhat,family,God,
"Yes, I consent",5–10 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Sometimes,Sometimes,Rarely,Neutral,Neutral,"Working in quiet spaces, Taking breaks / exercise",Not sure,Unfocused,55 +,Male,Employed part-time,UK,Not really,Honesty,kindness,humanity
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Turn my phone off,Frustrated ,45 - 54,Female,Employed part-time,UK/London,Yes definitely,Honesty ,Compassion ,Integrity 
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",not think about what's happening on my mobile phone so often,Annoyed,45 - 54,Female,Employed full-time,United Kingdom,Somewhat,honesty,compassion,integrity
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Background noise / environment, Internal thoughts/worries",Rarely,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","If I could change one thing it would be noise from the external environment. I work from home currently and unfortunately I have fairly noisy neighbors in my building, above, below, and to the side, so it seems one or the other of them is often making noise from music, gatherings, or just generally stomping around. I use earplugs and headphones of various types and try to time my work to some extent for when external noise is less likely to be a problem but regardless it does interfere despite my best intentions to focus.  So being able to magically remove all of the noise from the external environment would be the one thing I think would most significantly improve my ability to focus.",frustrated,45 - 54,Male,Self-employed,Canada,Somewhat,caring about and helping other people (showing empathy/love/respect),environmentalism (improving the natural world in which we live),being conscientious and working hard
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",remove unnecessary distractions,annoyed,18 - 24,Male,Student,united kingdom,Yes definitely,planning my schedule,perseverance,honesty
"Yes, I consent",11–20 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Aligning tasks with personal priorities or values",It would probably be to block out distracting thoughts that are unrelated to the task at hand. I think of other stuff that I have to do and that prevents me from staying focused.,disorganized,35 - 44,Male,Employed full-time,United States,"No, not at all","authenticity, reliability, ingenuity",accountability,open-mindedness
"Yes, I consent",21–30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",Reduce/eliminate background wherever I'm working ,Generally I feel frustrated that my focus and productivity have been lost due to outside distractions,45 - 54,Male,Employed full-time,United Kingdom,Yes definitely,Honesty,Generosity,Compassion
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise",having my own office would be great ,i can feel annoyed but i try to calm myself down by taking a moment to self meditate,35 - 44,Male,Employed full-time,uk,Yes definitely,responsibility,honesty,disipline
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Have a job environment aligned to mu values.,Frustrated ,45 - 54,Male,Employed full-time,"Scotland, UK",Somewhat,Honesty,Inclusion ,Trust
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",My place of abode/work. Having a view like an ocean in a quiet place like a beach house.,I feel I have underachieved.,25 - 34,Male,Employed full-time,UK,Yes definitely,Honesty,Upright,Humility
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Sometimes,Often,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Block out all background noise.,Frustrated,35 - 44,Male,Employed full-time,USA,Yes definitely,Respect,Honesty,Empathy
"Yes, I consent",21–30 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Rarely,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would try to include short breaks where I can step outside the office and walk around a bit. Getting some fresh air and a change of scenery would help me reset and stay more focused when I return to work.,Frustrated.,25 - 34,Male,Employed full-time,The U.S.,Yes definitely,Honesty,Family,Personal growth
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Often,Often,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",To switch off my mind and just 100% plug in.,Stressed,18 - 24,Female,Unemployed,United Kingdom,Not really,Respect,Communication ,Understanding 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Try and clear my mind before I start a task so I don’t suddenly start to think about something and get distracted,frustrated,25 - 34,Male,Employed part-time,UK,Somewhat,trust,honestly,kindness
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Rarely,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",try not to do so much all at once,irksome,45 - 54,Female,Employed full-time,united states,Yes definitely,"honesty, promptness, honor(integrity)",,
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I wish there were less tasks demanding my attention all at once. It's not the I so much as luck the ability to focus, but I need to get pulled away from what I'm doing constantly to attend to something else.",Frustrating,25 - 34,Female,Self-employed,"USA, Pacific",Yes definitely,"Hedonism, creativity, integrity",Intentionality,Persistence 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise","I’d change the mental load of constantly having to navigate bias, whether it’s subtle. It’s not just about staying focused on the task; it’s about staying focused while also managing how I’m perceived, how I’m spoken to, and whether I’m being given the same opportunities to succeed. That background noise takes energy. If I could quiet that, if I could walk into every room knowing I’m seen for my talent and not my skin, I’d have a clearer headspace to thrive.","It’s that feeling when your thoughts are darting in ten directions, and none of them are landing. You know what you should be doing, but your mind’s playing hopscotch across distractions. It’s not quite overwhelmed, not quite bored, just scattered.",35 - 44,Male,Employed full-time,United states/Christianity,Yes definitely,Integrity,Growth,Curiosity
